id	filename	md5	size	state
c140ee8e-c45f-47fb-b214-c3c8cdde972e	c140ee8e-c45f-47fb-b214-c3c8cdde972e/b5909b96-7ef6-497a-802e-11805dc7ded7.rna_seq.augmented_star_gene_counts.tsv	c8a1f9e2ec7fa72254b4a3d602c5e39f	4225356	validated
8e14dba9-6132-483c-892b-b244704fdc38	8e14dba9-6132-483c-892b-b244704fdc38/9343d3bd-0f60-49c3-8625-31a8a7a846c4.rna_seq.augmented_star_gene_counts.tsv	ad64263c4428fbc208bb34e0a5d2e362	4245632	validated
6bec00ac-81d0-4f29-bb4d-99102992914c	6bec00ac-81d0-4f29-bb4d-99102992914c/0326e97a-2ec7-4038-98f3-03d94962d869.rna_seq.augmented_star_gene_counts.tsv	a733db7feddb683bbf4ce002ae40c570	4241905	validated
21285d92-3596-4a82-91ae-a99e22479a3c	21285d92-3596-4a82-91ae-a99e22479a3c/4f721842-9460-4376-b577-59c3731f34a6.rna_seq.augmented_star_gene_counts.tsv	d8b5726161df406be7d7bce03f7051ff	4217677	validated
69e97c5b-4c8a-4710-a0f6-48ebfd917f5a	69e97c5b-4c8a-4710-a0f6-48ebfd917f5a/af276b15-2dc4-4724-bbf5-1be8224b7f73.rna_seq.augmented_star_gene_counts.tsv	a52ccf5219e9acd92ddebf65affe68e2	4214387	validated
ac9d6b6d-37e9-44ca-9f70-0e6351c39341	ac9d6b6d-37e9-44ca-9f70-0e6351c39341/2f00871b-1c4a-4fe9-94f6-42493fd95841.rna_seq.augmented_star_gene_counts.tsv	0c72a81086b0947e78e52aa3804c42d8	4221147	validated
c97d6c2a-9866-4893-8cff-ee747c4a4550	c97d6c2a-9866-4893-8cff-ee747c4a4550/2f8abb88-ae9f-4315-bcad-4263862bd11b.rna_seq.augmented_star_gene_counts.tsv	50284d5270fbfe9576deaaedefa3337f	4231897	validated
e7ae9253-4c2d-41bd-9d3a-c37e9841f479	e7ae9253-4c2d-41bd-9d3a-c37e9841f479/186b7ed8-cc25-45b6-bf7d-25d7a3a2154a.rna_seq.augmented_star_gene_counts.tsv	1a88bab62fc5a34f5481e2ae15839071	4233633	validated
883bbed6-0216-48c2-9694-5dba83ce65c7	883bbed6-0216-48c2-9694-5dba83ce65c7/af407c3f-2dad-4fb9-850e-4a79b361589b.rna_seq.augmented_star_gene_counts.tsv	d19a4ab3b293c1bedf7ad79fd796dad1	4233751	validated
505bfb1f-dc96-4f7e-ba2c-8e20eb0e1f6c	505bfb1f-dc96-4f7e-ba2c-8e20eb0e1f6c/8b3aec43-4c75-4598-bf0a-168f7ffb9f3b.rna_seq.augmented_star_gene_counts.tsv	b2f63e2077860a37964300344dd3d23c	4220006	validated
26ea6a31-ea33-4bb9-814f-c0840dafe69e	26ea6a31-ea33-4bb9-814f-c0840dafe69e/09728f38-787f-4868-b28d-8cf6afa3c71b.rna_seq.augmented_star_gene_counts.tsv	aaf8cfc5d793ce80ece61c7e168c55dd	4230098	validated
b9ac77d6-9a1b-443d-8ef5-e8ef2e3008dd	b9ac77d6-9a1b-443d-8ef5-e8ef2e3008dd/6f6bf240-1ca4-47d0-9a77-17b0ce9b8ae7.rna_seq.augmented_star_gene_counts.tsv	11bcef36ba61bd2bf27d9c24b968c510	4264851	validated
51847dea-489f-4df9-84f8-26a6f2579620	51847dea-489f-4df9-84f8-26a6f2579620/35a9d225-0988-4e31-9a39-d54f3a63bea8.rna_seq.augmented_star_gene_counts.tsv	53810a51254a1fa3ae413dc7f75c5e9a	4245328	validated
eac45bfd-6795-47a4-8d6b-5a7c8bc76cd1	eac45bfd-6795-47a4-8d6b-5a7c8bc76cd1/a3069465-cb5b-43ef-aad9-73af4534b795.rna_seq.augmented_star_gene_counts.tsv	21ae68bb070b35994feb3a04b3b58747	4223174	validated
36101746-9c10-478e-96fb-8b47d057a6d4	36101746-9c10-478e-96fb-8b47d057a6d4/eaaacefc-a798-4b6e-8471-0fde96a80bb9.rna_seq.augmented_star_gene_counts.tsv	e442bf31d98890c4736b2d726f83931d	4236063	validated
e1a4e922-876b-45d1-8fb6-5d39dbf6ff60	e1a4e922-876b-45d1-8fb6-5d39dbf6ff60/3dbeacde-e4f1-443a-b34e-28c44acce88c.rna_seq.augmented_star_gene_counts.tsv	e069caf93d5dde80a1a6c3419e4c93fa	4221708	validated
ace52699-f049-4a11-ab3d-ce3719c62e41	ace52699-f049-4a11-ab3d-ce3719c62e41/0e3e11b9-9f43-4a0d-8665-023fae9f8b00.rna_seq.augmented_star_gene_counts.tsv	7edb44b06da1d77cd7dde2a9eece24a8	4223025	validated
0b73f593-b6e8-4897-9b9b-f09e65e436b7	0b73f593-b6e8-4897-9b9b-f09e65e436b7/30a6ea89-8eda-47cf-b336-e070fcd08740.rna_seq.augmented_star_gene_counts.tsv	9717e87c21db6d45d57d5a02aa5b6b2e	4230744	validated
